Date,company name,open,high,low,closing,avg_price_1,avg_volume_1,ROC_1,avg_price_2,std_price_2,avg_volume_2,ROC_2,avg_price_3,std_price_3,avg_volume_3,ROC_3,avg_price_4,std_price_4,avg_volume_4,ROC_4,avg_price_5,std_price_5,avg_volume_5,ROC_5,avg_price_6,std_price_6,avg_volume_6,ROC_6,avg_price_7,std_price_7,avg_volume_7,ROC_7,avg_price_8,std_price_8,avg_volume_8,ROC_8,avg_price_9,std_price_9,avg_volume_9,ROC_9,avg_price_10,std_price_10,avg_volume_10,ROC_10,avg_price_11,std_price_11,avg_volume_11,ROC_11,avg_price_12,std_price_12,avg_volume_12,ROC_12,avg_price_13,std_price_13,avg_volume_13,ROC_13,avg_price_14,std_price_14,avg_volume_14,ROC_14,avg_price_15,std_price_15,avg_volume_15,ROC_15,avg_price_16,std_price_16,avg_volume_16,ROC_16,avg_price_17,std_price_17,avg_volume_17,ROC_17,avg_price_18,std_price_18,avg_volume_18,ROC_18,avg_price_19,std_price_19,avg_volume_19,ROC_19,avg_price_20,std_price_20,avg_volume_20,ROC_20,avg_price_21,std_price_21,avg_volume_21,ROC_21,avg_price_22,std_price_22,avg_volume_22,ROC_22,avg_price_23,std_price_23,avg_volume_23,ROC_23,avg_price_24,std_price_24,avg_volume_24,ROC_24,avg_price_25,std_price_25,avg_volume_25,ROC_25,avg_price_26,std_price_26,avg_volume_26,ROC_26,avg_price_27,std_price_27,avg_volume_27,ROC_27,avg_price_28,std_price_28,avg_volume_28,ROC_28,avg_price_29,std_price_29,avg_volume_29,ROC_29,avg_price_30,std_price_30,avg_volume_30,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/1/2023,Pan American Silver Corp.,0.4314585678333243,0.2884823316912698,0.2708789908560668,0.17117115371454017,0,0,-0.010281224,0,0,0,-0.014573832,0,0,0,-0.014000989,0,0,0,-0.012175723,0,0,0,-0.014021911,0,0,0,-0.013754855,0,0,0,-0.013499213,0,0,0,-0.013349399,0,0,0,-0.013569781,0,0,0,-0.012442787,0,0,0,-0.010502708,0,0,0,-0.006726388,0,0,0,-0.003504232,0,0,0,0.001299432,0,0,0,0.005606682,0,0,0,0.010081841737797947,0,0,0,0.013195785939428032,0,0,0,0.015274229,0,0,0,0.018809192,0,0,0,0.026029662034393348,0,0,0,0.032289784,0,0,0,0.038381059,0,0,0,0.044373812,0,0,0,0.050453507,0,0,0,0.055866328,0,0,0,0.060016847,0,0,0,0.063807375,0,0,0,0.066391455,0,0,0,0.069045812,0,0,0,0.069956261,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Endeavour Mining plc,0.4908400932843141,0.39929728576343687,0.4590417788523767,0.39701417733977884,0,0,0.039014076,0,0,0,0.053682043,0,0,0,0.064781764,0,0,0,0.076918172,0,0,0,0.085394884,0,0,0,0.093605108,0,0,0,0.099980746,0,0,0,0.10573060079970417,0,0,0,0.11143541847709257,0,0,0,0.11985424101348051,0,0,0,0.12754023566683617,0,0,0,0.13614750846578677,0,0,0,0.14321906521856212,0,0,0,0.14968739771478806,0,0,0,0.1545766437738256,0,0,0,0.15995914016270996,0,0,0,0.16377133325172635,0,0,0,0.1661771138964279,0,0,0,0.16966899831675028,0,0,0,0.17436534608735996,0,0,0,0.17891933937093962,0,0,0,0.18370065696875362,0,0,0,0.18851499365085914,0,0,0,0.19451536361339955,0,0,0,0.20177364636547868,0,0,0,0.20836072481955734,0,0,0,0.2130303680912483,0,0,0,0.21568662701410157,0,0,0,0.2181952356676296,0,0,0,0.2196265785698624,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Osisko Gold Royalties Ltd,-1.371859724,-1.43010755,-1.32430467,-1.349905065,0,0,-0.03645551,0,0,0,-0.050518673,0,0,0,-0.060845347,0,0,0,-0.067798153,0,0,0,-0.075661806,0,0,0,-0.081924751,0,0,0,-0.087192468,0,0,0,-0.092416401,0,0,0,-0.097922819,0,0,0,-0.103197797,0,0,0,-0.108397491,0,0,0,-0.111476977,0,0,0,-0.114952105,0,0,0,-0.116840701,0,0,0,-0.118802592,0,0,0,-0.120956481,0,0,0,-0.123658897,0,0,0,-0.126113918,0,0,0,-0.125166884,0,0,0,-0.122924458,0,0,0,-0.121886476,0,0,0,-0.120827797,0,0,0,-0.119985419,0,0,0,-0.118780579,0,0,0,-0.117587205,0,0,0,-0.117312174,0,0,0,-0.117618877,0,0,0,-0.118459592,0,0,0,-0.120436852,0,0,0,-0.122573112,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Eldorado Gold Corporation,-1.561924388,-1.625421562,-1.495064909,-1.542922685,0,0,-0.070770682,0,0,0,-0.101452689,0,0,0,-0.121234958,0,0,0,-0.135628915,0,0,0,-0.149927143,0,0,0,-0.160834553,0,0,0,-0.170379121,0,0,0,-0.179572414,0,0,0,-0.189609907,0,0,0,-0.198857563,0,0,0,-0.208336234,0,0,0,-0.216422578,0,0,0,-0.225088024,0,0,0,-0.23258885,0,0,0,-0.239404208,0,0,0,-0.246794419,0,0,0,-0.254919007,0,0,0,-0.261633425,0,0,0,-0.268451214,0,0,0,-0.272705428,0,0,0,-0.278387648,0,0,0,-0.284145047,0,0,0,-0.289923959,0,0,0,-0.295547816,0,0,0,-0.300609455,0,0,0,-0.306184642,0,0,0,-0.311764825,0,0,0,-0.317243762,0,0,0,-0.324379321,0,0,0,-0.33106302,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,IAMGOLD Corporation,-0.029612583,-0.07988189,-0.007584905,0.009007989,0,0,-0.01036373,0,0,0,-0.015533219,0,0.00E+00,0,-0.021034858,0,0,0,-0.022643853,0,0,0,-0.025459517,0,0,0,-0.029042263,0,0,0,-0.032345154,0,0,0,-0.03504833,0,0,0,-0.038009055,0,0,0,-0.03944559,0,0,0,-0.041799665,0,0,0,-0.042459861,0,0,0,-0.042929066,0,0,0,-0.042053761,0,0,0,-0.039982091,0,0,0,-0.037732566,0,0,0,-0.036118964,0,0,0,-0.035189857,0,0,0,-0.033676624,0,0,0,-0.028497029,0,0,0,-0.024227292,0,0,0,-0.020549362,0,0,0,-0.017153011,0,0,0,-0.012607038,0,0,0,-0.008615607,0,0,0,-0.00514373,0,0,0,-0.002304894,0,0,0,-0.001128267,0,0,0,-0.000837169,0,0,0,-0.000825465,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Coeur Mining, Inc.",0.7502909445848724,0.6893475895941359,0.6330383636024418,0.5530675611726065,0,0,-0.013354698,0,0,0,-0.018224519,0,0,0,-0.021637971,0,0,0,-0.023236649,0,0,0,-0.026563535,0,0,0,-0.028089759,0,0,0,-0.030109496,0,0,0,-0.032296107,0,0,0,-0.033592447,0,0,0,-0.033667725,0,0,0,-0.035962265,0,0,0,-0.036324564,0,0,0,-0.038342637,0,0,0,-0.039156575,0,0,0,-0.041092603,0,0,0,-0.042234715,0,0,0,-0.04450118,0,0,0,-0.046414698,0,0,0,-0.045005887,0,0,0,-0.040845261,0,0,0,-0.037634006,0,0,0,-0.033723053,0,0,0,-0.029697761,0,0,0,-0.026172553,0,0,0,-0.022382399,0,0,0,-0.018731862,0,0,0,-0.015526536,0,0,0,-0.012941302,0,0,0,-0.010847058,0,0,0,-0.00958331,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Equinox Gold Corp.,-2.686343395,-2.876000413,-2.721486717,-2.748303441,0,0,-0.052164927,0,0,0,-0.072926932,0,0,0,-0.085064074,0,0,0,-0.091585525,0,0,0,-0.09978481,0,0,0,-0.105971236,0,0,0,-0.111483762,0,0,0,-0.117157126,0,0,0,-0.123506818,0,0,0,-0.127784627,0,0,0,-0.132499616,0,0,0,-0.136687888,0,0,0,-0.140779361,0,0,0,-0.142954374,0,0,0,-0.144889713,0,0,0,-0.146510356,0,0,0,-0.14852186,0,0,0,-0.151285935,0,0,0,-0.152380362,0,0,0,-0.151783079,0,0,0,-0.152999833,0,0,0,-0.154585384,0,0,0,-0.155968546,0,0,0,-0.156822425,0,0,0,-0.157850125,0,0,0,-0.159122812,0,0,0,-0.161032185,0,0,0,-0.163499256,0,0,0,-0.166683717,0,0,0,-0.169753937,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Orla Mining Ltd.,0.05960726,-0.037971149,0.022644385,-0.06126672,0,0,0.014128232525904755,0,0,0,0.019982329,0,0,0,0.026513861,0,0,0,0.030506997370202262,0,0,0,0.032257890332723305,0,0,0,0.036300606618161195,0,0,0,0.039425944,0,0,0,0.042840093,0,0,0,0.045155465450358985,0,0,0,0.04853049,0,0,0,0.052602241,0,0,0,0.058138925981102894,0,0,0,0.062526244,0,0,0,0.068917584,0,0,0,0.075532774,0,0,0,0.083072932,0,0,0,0.087389834,0,0,0,0.092444598,0,0,0,0.098785622,0,0,0,0.10910905580648457,0,0,0,0.11835257033233129,0,0,0,0.1253188309305504,0,0,0,0.13158178490324993,0,0,0,0.13818884378450294,0,0,0,0.14531806706568715,0,0,0,0.15061512598527024,0,0,0,0.15408926589178293,0,0,0,0.15570967793597804,0,0,0,0.15753823443129547,0,0,0,0.15973334000318926,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Sandstorm Gold Ltd.,-0.063105636,-0.167857747,-0.029235576,-0.015769315,0,0,-0.00341802,0,0,0,-0.004793597,0,0,0,-0.002951174,0,0,0,-0.000468534,0,0,0,0.001127536,0,0,0,0.003664557,0,0,0,0.006640012,0,0,0,0.009356698,0,0,0,0.011738716441349654,0,0,0,0.014927344026243305,0,0,0,0.018056628,0,0,0,0.023463173,0,0,0,0.027461143041319937,0,0,0,0.032188021,0,0,0,0.037478112,0,0,0,0.042945659,0,0,0,0.046237144,0,0,0,0.047418103,0,0,0,0.051719996,0,0,0,0.059854922,0,0,0,0.065810811,0,0,0,0.071314049,0,0,0,0.076798167,0,0,0,0.082874649,0,0,0,0.088831258,0,0,0,0.092934035,0,0,0,0.096595174,0,0,0,0.098922698,0,0,0,0.10155797874322618,0,0,0,0.102072548,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Centerra Gold Inc.,-1.255914982,-1.397434324,-1.373829465,-1.343083452,0,0,-0.028173895,0,0,0,-0.039542454,0,0,0,-0.045995184,0,0,0,-0.050966315,0,0,0,-0.056058004,0,0,0,-0.059808734,0,0,0,-0.062474628,0,0,0,-0.065086874,0,0,0,-0.067742416,0,0,0,-0.069681818,0,0,0,-0.070667195,0,0,0,-0.070302958,0,0,0,-0.070667529,0,0,0,-0.070110948,0,0,0,-0.070205929,0,0,0,-0.070160248,0,0,0,-0.071702266,0,0,0,-0.072816825,0,0,0,-0.072776258,0,0,0,-0.069710611,0,0,0,-0.067012569,0,0,0,-0.064860953,0,0,0,-0.062590175,0,0,0,-0.060528197,0,0,0,-0.057833562,0,0,0,-0.055305031,0,0,0,-0.05338501,0,0,0,-0.052113728,0,0,0,-0.051446422,0,0,0,-0.052160064,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
